,code,title,EOS,Mid
2,AL801,Software Design with Virtual Reality and Gaming,304,328
3,AL802,Software Design with Cloud Computing,301,306
4,AL803,Software Design with Mobile Apps and Connected Devices,309,337
5,AL805,Network Management and Cloud Infrastructure,329,442
6,AL810,Quantity Surveying,307,349
7,AL820,Mechanical and Polymer Engineering,300,358
8,AL830,General Nursing,410,429
9,AL832,Psychiatric Nursing,387,403
10,AL836,Nutrition and Health Science,352,383
11,AL837,Sports Science with Exercise Physiology,351,392
12,AL838,Biotechnology,302,372
13,AL839,Microbiology,322,371
14,AL840,Pharmaceutical Sciences,328,411
15,AL841,Athletic and Rehabilitation Therapy,423,430
16,AL842,Bioveterinary Science,310,366
17,AL843,Physical Activity and Health Science,310,330
18,AL850,Business,307,356
19,AL851,Business and Law,301,341
20,AL852,Accounting (with optional placement),290,346
21,AL853,Accounting and Law,305,320
22,AL855,Hospitality Management (with International placement),312,357
23,AL857,Digital Marketing,300,360
24,AL860,Social Care Practice,309,338
25,AL861,Animation and Illustration (portfolio),#615,899
26,AL863,Graphic and Digital Design (portfolio),#703,898
27,AL864,Early Years Care and Education,307,348
28,AL870,Applied Psychology,409,445
29,,"Institute of Technology, Carlow",,
30,CW018,"Business (options, Wexford)",327,349
31,CW028,Early Childhood Education and Care (Wexford),252,308
32,CW038,"Art (portfolio, Wexford)",#700,700
33,CW058,Tourism and Event Management (Wexford),252,262
34,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
36,CW088,Visual Communications and Design (Wexford),309,345
37,CW108,Science (options),261,326
38,CW128,Brewing and Distilling,271,298
39,CW178,Sport Science (options),399,424
40,CW188,Sport Rehabilitation and Athletic Therapy,454,473
41,CW208,Computer Games Development,281,338
42,CW238,Software Development,300,343
43,CW248,Information Technology Management,307,357
2,CW438,Construction (options),271,308
3,CW468,Architectural Technology,252,290
4,CW478,Civil Engineering,348,383
5,CW548,Mechanical Engineering,310,351
6,CW558,Electronic Systems,279,338
7,CW568,Aerospace Engineering,366,422
8,CW578,TV and Media Production,327,361
9,CW708,Law - LLB,298,328
10,CW728,Product Design Innovation,286,355
11,CW748,Early Childhood Education and Care,265,338
12,CW758,Applied Social Studies - Professional Social Care,290,319
13,CW808,Media and Public Relations,248,307
14,CW848,Digital Marketing with Analytics,279,307
15,CW858,"Sports Management and Coaching (options, portfolio)",#700,700
16,CW908,Business (options),260,307
17,CW938,Business with Law,270,288
18,CW948,Accounting,301,408
19,,"Carlow College, St. Patrick`s",,
20,PC405,"Social, Political and Community Studies",251,296
21,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289
22,PC411,English and History (fulfils Teaching Council requirements),168,289
23,,Cork Institute of Technology,,
24,CR105,Chemical and Biopharmaceutical Engineering,432,498
25,CR106,Software Development,351,393
26,CR108,Mechanical Engineering,425,487
27,CR109,Structural Engineering,341,467
28,CR110,Automotive Business Management and Technology,318,347
