,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
0,International Business,AC120,209,,8,American College
1,Liberal Arts,AC137,252,,8,American College
2,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,8,National College of Art and Design
3,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,8,National College of Art and Design
4,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,8,National College of Art and Design
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,8,National College of Art and Design
6,Fine Art (portfolio),AD204,#+matric,,8,National College of Art and Design
7,Fashion Design (portfolio),AD211,#+matric,,8,National College of Art and Design
8,Product Design (portfolio),AD212,#+matric,,8,National College of Art and Design
9,Visual Culture,AD215,377,320,8,National College of Art and Design
10,Illustration (portfolio),AD217,#+matric,,8,National College of Art and Design
11,Interaction Design (portfolio),AD222,#+matric,,8,National College of Art and Design
45,Software Design with Virtual Reality and Gaming,AL801,303,,8,Athlone Institute of Technology
46,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,8,Athlone Institute of Technology
47,Software Design with Mobile Apps and Connected Devices,AL803,337,,8,Athlone Institute of Technology
48,Computer Engineering with Network Infrastructure,AL805,333,,8,Athlone Institute of Technology
49,Quantity Surveying,AL810,319,,8,Athlone Institute of Technology
50,Civil Engineering,AL811,320,,8,Athlone Institute of Technology
51,Mechanical and Polymer Engineering,AL820,308,,8,Athlone Institute of Technology
52,General Nursing,AL830,442,,8,Athlone Institute of Technology
53,Psychiatric Nursing,AL832,387,384,8,Athlone Institute of Technology
54,Nutrition and Health Science,AL836,334,,8,Athlone Institute of Technology
55,Sports Science with Exercise Physiology,AL837,351,,8,Athlone Institute of Technology
56,Biotechnology,AL838,307,,8,Athlone Institute of Technology
57,Microbiology,AL839,325,,8,Athlone Institute of Technology
58,Pharmaceutical Sciences,AL840,347,,8,Athlone Institute of Technology
59,Athletic and Rehabilitation Therapy,AL841,430,,8,Athlone Institute of Technology
60,Bioveterinary Science,AL842,313,,8,Athlone Institute of Technology
61,Physical Activity and Health Science,AL843,306,,8,Athlone Institute of Technology
62,Business,AL850,309,,8,Athlone Institute of Technology
63,Business and Law,AL851,295,,8,Athlone Institute of Technology
64,Accounting,AL852,309,,8,Athlone Institute of Technology
65,Sport Management (with international placement),AL854,302,299,8,Athlone Institute of Technology
66,Hospitality Management (with international placement),AL855,308,,8,Athlone Institute of Technology
67,Digital Marketing,AL857,304,,8,Athlone Institute of Technology
68,Social Care Practice,AL860,300,,8,Athlone Institute of Technology
69,Animation and Illustration (portfolio),AL861,578,,8,Athlone Institute of Technology
70,Graphic and Digital Design (portfolio),AL863,781,,8,Athlone Institute of Technology
71,Early Years Care and Education,AL864,307,,8,Athlone Institute of Technology
72,Applied Psychology,AL870,418,,8,Athlone Institute of Technology
73,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,,8,St. Angela`s College
74,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,434,8,St. Angela`s College
75,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,440,8,St. Angela`s College
76,"Nutrition, Food and Business Management",AS051,328,317,8,St. Angela`s College
77,Home Economics,AS054,408,398,8,St. Angela`s College
78,General Nursing,AS110,419,,8,St. Angela`s College
79,Intellectual Disability Nursing,AS130,336,328,8,St. Angela`s College
83,Counselling and Psychotherapy,CI110,310,,8,Irish College of Humanities & Applied Sciences
84,Counselling and Addiction Studies,CI111,301,,8,Irish College of Humanities & Applied Sciences
85,Counselling and Youth Studies,CI112,311,,8,Irish College of Humanities & Applied Sciences
86,Arts - 3 years,CK101,300,,8,University College Cork (NUI)
87,Social Science,CK102,412,,8,University College Cork (NUI)
88,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,8,University College Cork (NUI)
89,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337,8,University College Cork (NUI)
90,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,8,University College Cork (NUI)
91,Arts International - 4 years,CK108,401,,8,University College Cork (NUI)
92,English - 3 years or 4 years (International Pathway),CK109,318,,8,University College Cork (NUI)
93,World Languages,CK110,452,433,8,University College Cork (NUI)
94,Early Years and Childhood Studies,CK111,419,,8,University College Cork (NUI)
95,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,8,University College Cork (NUI)
96,Criminology - 3 years or 4 years (International Pathway),CK113,423,,8,University College Cork (NUI)
97,Social Science (Youth and Community Work) - 3 years,CK114,,,8,University College Cork (NUI)
98,Social Work - Mature Applicants only,CK115,,,8,University College Cork (NUI)
99,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,8,University College Cork (NUI)
100,Applied Psychology,CK120,533,532,8,University College Cork (NUI)
101,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,8,University College Cork (NUI)
102,Government and Political Science,CK122,337,328,8,University College Cork (NUI)
103,Anthropology,CK123,308,,8,University College Cork (NUI)
104,Education - Gaeilge,CK124,463,462,8,University College Cork (NUI)
105,Sports Studies and Physical Education,CK125,510,509,8,University College Cork (NUI)
106,Commerce,CK201,477,,8,University College Cork (NUI)
107,Accounting,CK202,509,,8,University College Cork (NUI)
108,Business Information Systems,CK203,430,,8,University College Cork (NUI)
109,Finance,CK204,556,,8,University College Cork (NUI)
110,Commerce (International) with French,CK205,445,,8,University College Cork (NUI)
111,Commerce (International) with German,CK206,420,418,8,University College Cork (NUI)
112,Commerce (International) with Italian,CK207,388,,8,University College Cork (NUI)
113,Commerce (International) with Hispanic Studies,CK208,402,,8,University College Cork (NUI)
114,Commerce (International) with Irish,CK209,484,,8,University College Cork (NUI)
115,Commerce (International) with Chinese Studies,CK211,397,,8,University College Cork (NUI)
