,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS
0,International Business,AC120,209,
1,Liberal Arts,AC137,252,
2,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,
3,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,
4,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,
6,Fine Art (portfolio),AD204,#+matric,
7,Fashion Design (portfolio),AD211,#+matric,
8,Product Design (portfolio),AD212,#+matric,
9,Visual Culture,AD215,377,320
10,Illustration (portfolio),AD217,#+matric,
11,Interaction Design (portfolio),AD222,#+matric,
45,Software Design with Virtual Reality and Gaming,AL801,303,
46,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,
47,Software Design with Mobile Apps and Connected Devices,AL803,337,
48,Computer Engineering with Network Infrastructure,AL805,333,
49,Quantity Surveying,AL810,319,
50,Civil Engineering,AL811,320,
51,Mechanical and Polymer Engineering,AL820,308,
52,General Nursing,AL830,442,
53,Psychiatric Nursing,AL832,387,384
54,Nutrition and Health Science,AL836,334,
55,Sports Science with Exercise Physiology,AL837,351,
56,Biotechnology,AL838,307,
57,Microbiology,AL839,325,
58,Pharmaceutical Sciences,AL840,347,
59,Athletic and Rehabilitation Therapy,AL841,430,
60,Bioveterinary Science,AL842,313,
61,Physical Activity and Health Science,AL843,306,
62,Business,AL850,309,
63,Business and Law,AL851,295,
64,Accounting,AL852,309,
65,Sport Management (with international placement),AL854,302,299
66,Hospitality Management (with international placement),AL855,308,
67,Digital Marketing,AL857,304,
68,Social Care Practice,AL860,300,
69,Animation and Illustration (portfolio),AL861,578,
70,Graphic and Digital Design (portfolio),AL863,781,
71,Early Years Care and Education,AL864,307,
72,Applied Psychology,AL870,418,
73,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,
74,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,434
75,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,440
76,"Nutrition, Food and Business Management",AS051,328,317
77,Home Economics,AS054,408,398
78,General Nursing,AS110,419,
79,Intellectual Disability Nursing,AS130,336,328
83,Counselling and Psychotherapy,CI110,310,
84,Counselling and Addiction Studies,CI111,301,
85,Counselling and Youth Studies,CI112,311,
86,Arts - 3 years,CK101,300,
87,Social Science,CK102,412,
88,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,
89,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337
90,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,
91,Arts International - 4 years,CK108,401,
92,English - 3 years or 4 years (International Pathway),CK109,318,
93,World Languages,CK110,452,433
94,Early Years and Childhood Studies,CK111,419,
95,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,
96,Criminology - 3 years or 4 years (International Pathway),CK113,423,
97,Social Science (Youth and Community Work) - 3 years,CK114,,
98,Social Work - Mature Applicants only,CK115,,
99,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,
100,Applied Psychology,CK120,533,532
101,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,
102,Government and Political Science,CK122,337,328
103,Anthropology,CK123,308,
104,Education - Gaeilge,CK124,463,462
105,Sports Studies and Physical Education,CK125,510,509
106,Commerce,CK201,477,
107,Accounting,CK202,509,
108,Business Information Systems,CK203,430,
109,Finance,CK204,556,
110,Commerce (International) with French,CK205,445,
111,Commerce (International) with German,CK206,420,418
112,Commerce (International) with Italian,CK207,388,
113,Commerce (International) with Hispanic Studies,CK208,402,
114,Commerce (International) with Irish,CK209,484,
115,Commerce (International) with Chinese Studies,CK211,397,
116,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,
117,Food Marketing and Entrepreneurship,CK213,462,
118,International Development,CK214,346,
119,Law (Pathways) -  3 or 4 years,CK301,507,499
120,Law and French,CK302,542,
121,Law and Irish,CK304,540,
122,Law and Business,CK307,556,
123,Computer Science,CK401,468,
124,Biological and Chemical Sciences,CK402,510,509
125,"Biological, Earth and Environmental Sciences",CK404,467,
126,Genetics,CK405,487,
127,Chemical Sciences,CK406,485,472
128,Mathematical Sciences,CK407,566,565
129,Physics and Astrophysics,CK408,554,542
130,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,
131,Data Science and Analytics,CK411,510,
132,Agricultural Science,CK412,496,496
133,Nutritional Sciences,CK504,518,
134,Food Science,CK505,441,440
135,Engineering,CK600,487,
136,Architecture - Offered jointly by UCC and CIT,CK606,484,476
137,Medicine (Undergraduate Entry - HPAT required),CK701,731,
138,Dentistry,CK702,613,613
139,Pharmacy,CK703,590,589
140,Occupational Therapy,CK704,566,555
141,Speech and Language Therapy,CK705,520,
142,Public Health Sciences,CK706,454,
143,Medical and Health Sciences,CK707,542,541
144,General Nursing,CK710,454,
145,Children`s and General Nursing (Integrated),CK712,533,
146,Mental Health Nursing,CK720,423,
147,Intellectual Disability Nursing,CK730,419,411
148,Midwifery,CK740,484,
149,Medicine  - Graduate Entry (GAMSAT required),CK791,57,
150,Education - Primary Teaching,CM001,484,
151,Education - Primary Teaching - Gaeltacht Applicants,CM002,,
152,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,
153,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,
154,Education Studies,CM010,319,
155,Early Childhood Education,CM020,327,
180,Chemical and Biopharmaceutical Engineering,CR105,443,
181,Software Development,CR106,411,
182,Mechanical Engineering,CR108,434,
183,Structural Engineering,CR109,394,
184,Automotive Business Management and Technology,CR110,311,
185,Creative Digital Media,CR112,361,
186,Computer Systems,CR116,332,
187,Music at CIT Cork School of Music,CR121,868,
188,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,
189,Popular Music: Drums at CIT Cork School of Music,CR126,801,
190,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,768
191,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,
192,Popular Music: Voice at CIT Cork School of Music,CR129,841,
193,Musical Theatre at CIT Cork School of Music,CR130,548,518
194,Business Information Systems,CR150,335,
195,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,
196,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,
197,Photography with New Media,CR225,#+matric,
199,Physical Sciences (Common Entry),CR305,282,
200,IT Management,CR310,297,
201,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,
202,Pharmaceutical Biotechnology,CR325,398,
203,Nutrition and Health Science,CR333,402,
204,Biological Sciences (Common Entry),CR335,420,
205,Analytical Chemistry with Quality Assurance,CR340,251,
206,Instrument Engineering,CR360,261,
