,title,code,pointsR1,pointsR2
0,International Business,AC120,209,nan
1,Liberal Arts,AC137,252,nan
2,"First Year Art & Design (Common Entry,portfolio)",AD101,,nan
3,Graphic Design and Moving Image Design (portfolio),AD102,,nan
4,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,,nan
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,,nan
6,Fine Art (portfolio),AD204,,nan
7,Fashion Design (portfolio),AD211,,nan
8,Product Design (portfolio),AD212,,nan
9,Visual Culture,AD215,377,320
10,Illustration (portfolio),AD217,,nan
11,Interaction Design (portfolio),AD222,,nan
12,Software Design with Virtual Reality and Gaming,AL801,303,nan
13,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,nan
14,Software Design with Mobile Apps and Connected Devices,AL803,337,nan
15,Computer Engineering with Network Infrastructure,AL805,333,nan
16,Quantity Surveying,AL810,319,nan
17,Civil Engineering,AL811,320,nan
18,Mechanical and Polymer Engineering,AL820,308,nan
19,General Nursing,AL830,442,nan
20,Psychiatric Nursing,AL832,387,384
21,Nutrition and Health Science,AL836,334,nan
22,Sports Science with Exercise Physiology,AL837,351,nan
23,Biotechnology,AL838,307,nan
24,Microbiology,AL839,325,nan
25,Pharmaceutical Sciences,AL840,347,nan
26,Athletic and Rehabilitation Therapy,AL841,430,nan
27,Bioveterinary Science,AL842,313,nan
28,Physical Activity and Health Science,AL843,306,nan
29,Business,AL850,309,nan
30,Business and Law,AL851,295,nan
31,Accounting,AL852,309,nan
32,Sport Management (with international placement),AL854,302,299
33,Hospitality Management (with international placement),AL855,308,nan
34,Digital Marketing,AL857,304,nan
35,Social Care Practice,AL860,300,nan
36,Animation and Illustration (portfolio),AL861,578,nan
37,Graphic and Digital Design (portfolio),AL863,781,nan
38,Early Years Care and Education,AL864,307,nan
39,Applied Psychology,AL870,418,nan
40,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,nan
41,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,434
42,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,440
43,"Nutrition, Food and Business Management",AS051,328,317
44,Home Economics,AS054,408,398
45,General Nursing,AS110,419,nan
46,Intellectual Disability Nursing,AS130,336,328
47,Counselling and Psychotherapy,CI110,310,nan
48,Counselling and Addiction Studies,CI111,301,nan
49,Counselling and Youth Studies,CI112,311,nan
50,Arts - 3 years,CK101,300,nan
51,Social Science,CK102,412,nan
52,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,nan
53,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337
54,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,nan
55,Arts International - 4 years,CK108,401,nan
56,English - 3 years or 4 years (International Pathway),CK109,318,nan
57,World Languages,CK110,452,433
58,Early Years and Childhood Studies,CK111,419,nan
59,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,nan
60,Criminology - 3 years or 4 years (International Pathway),CK113,423,nan
61,Social Science (Youth and Community Work) - 3 years,CK114,nan,nan
62,Social Work - Mature Applicants only,CK115,nan,nan
63,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,nan
64,Applied Psychology,CK120,533,532
65,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,nan
66,Government and Political Science,CK122,337,328
67,Anthropology,CK123,308,nan
68,Education - Gaeilge,CK124,463,462
69,Sports Studies and Physical Education,CK125,510,509
70,Commerce,CK201,477,nan
71,Accounting,CK202,509,nan
72,Business Information Systems,CK203,430,nan
73,Finance,CK204,556,nan
74,Commerce (International) with French,CK205,445,nan
75,Commerce (International) with German,CK206,420,418
76,Commerce (International) with Italian,CK207,388,nan
77,Commerce (International) with Hispanic Studies,CK208,402,nan
78,Commerce (International) with Irish,CK209,484,nan
79,Commerce (International) with Chinese Studies,CK211,397,nan
80,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,nan
81,Food Marketing and Entrepreneurship,CK213,462,nan
82,International Development,CK214,346,nan
83,Law (Pathways) -  3 or 4 years,CK301,507,499
84,Law and French,CK302,542,nan
85,Law and Irish,CK304,540,nan
86,Law and Business,CK307,556,nan
87,Computer Science,CK401,468,nan
