,title,code,pointsR1,pointsR2,HEI
0,International Business,AC120,209,nan,American College
1,Liberal Arts,AC137,252,nan,American College
2,"First Year Art & Design (Common Entry,portfolio)",AD101,,nan,National College of Art and Design
3,Graphic Design and Moving Image Design (portfolio),AD102,,nan,National College of Art and Design
4,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,,nan,National College of Art and Design
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,,nan,National College of Art and Design
6,Fine Art (portfolio),AD204,,nan,National College of Art and Design
7,Fashion Design (portfolio),AD211,,nan,National College of Art and Design
8,Product Design (portfolio),AD212,,nan,National College of Art and Design
9,Visual Culture,AD215,377,320,National College of Art and Design
10,Illustration (portfolio),AD217,,nan,National College of Art and Design
11,Interaction Design (portfolio),AD222,,nan,National College of Art and Design
12,Software Design with Virtual Reality and Gaming,AL801,303,nan,Athlone Institute of Technology
13,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,nan,Athlone Institute of Technology
14,Software Design with Mobile Apps and Connected Devices,AL803,337,nan,Athlone Institute of Technology
15,Computer Engineering with Network Infrastructure,AL805,333,nan,Athlone Institute of Technology
16,Quantity Surveying,AL810,319,nan,Athlone Institute of Technology
17,Civil Engineering,AL811,320,nan,Athlone Institute of Technology
18,Mechanical and Polymer Engineering,AL820,308,nan,Athlone Institute of Technology
19,General Nursing,AL830,442,nan,Athlone Institute of Technology
20,Psychiatric Nursing,AL832,387,384,Athlone Institute of Technology
21,Nutrition and Health Science,AL836,334,nan,Athlone Institute of Technology
22,Sports Science with Exercise Physiology,AL837,351,nan,Athlone Institute of Technology
23,Biotechnology,AL838,307,nan,Athlone Institute of Technology
24,Microbiology,AL839,325,nan,Athlone Institute of Technology
25,Pharmaceutical Sciences,AL840,347,nan,Athlone Institute of Technology
26,Athletic and Rehabilitation Therapy,AL841,430,nan,Athlone Institute of Technology
27,Bioveterinary Science,AL842,313,nan,Athlone Institute of Technology
28,Physical Activity and Health Science,AL843,306,nan,Athlone Institute of Technology
29,Business,AL850,309,nan,Athlone Institute of Technology
30,Business and Law,AL851,295,nan,Athlone Institute of Technology
31,Accounting,AL852,309,nan,Athlone Institute of Technology
32,Sport Management (with international placement),AL854,302,299,Athlone Institute of Technology
33,Hospitality Management (with international placement),AL855,308,nan,Athlone Institute of Technology
34,Digital Marketing,AL857,304,nan,Athlone Institute of Technology
35,Social Care Practice,AL860,300,nan,Athlone Institute of Technology
36,Animation and Illustration (portfolio),AL861,578,nan,Athlone Institute of Technology
37,Graphic and Digital Design (portfolio),AL863,781,nan,Athlone Institute of Technology
38,Early Years Care and Education,AL864,307,nan,Athlone Institute of Technology
39,Applied Psychology,AL870,418,nan,Athlone Institute of Technology
40,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,nan,St. Angela`s College
41,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,434,St. Angela`s College
42,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,440,St. Angela`s College
43,"Nutrition, Food and Business Management",AS051,328,317,St. Angela`s College
44,Home Economics,AS054,408,398,St. Angela`s College
45,General Nursing,AS110,419,nan,St. Angela`s College
46,Intellectual Disability Nursing,AS130,336,328,St. Angela`s College
47,Counselling and Psychotherapy,CI110,310,nan,Irish College of Humanities & Applied Sciences
48,Counselling and Addiction Studies,CI111,301,nan,Irish College of Humanities & Applied Sciences
49,Counselling and Youth Studies,CI112,311,nan,Irish College of Humanities & Applied Sciences
50,Arts - 3 years,CK101,300,nan,University College Cork (NUI)
51,Social Science,CK102,412,nan,University College Cork (NUI)
52,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,nan,University College Cork (NUI)
53,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337,University College Cork (NUI)
54,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,nan,University College Cork (NUI)
55,Arts International - 4 years,CK108,401,nan,University College Cork (NUI)
56,English - 3 years or 4 years (International Pathway),CK109,318,nan,University College Cork (NUI)
57,World Languages,CK110,452,433,University College Cork (NUI)
58,Early Years and Childhood Studies,CK111,419,nan,University College Cork (NUI)
59,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,nan,University College Cork (NUI)
60,Criminology - 3 years or 4 years (International Pathway),CK113,423,nan,University College Cork (NUI)
61,Social Science (Youth and Community Work) - 3 years,CK114,nan,nan,University College Cork (NUI)
62,Social Work - Mature Applicants only,CK115,nan,nan,University College Cork (NUI)
63,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,nan,University College Cork (NUI)
64,Applied Psychology,CK120,533,532,University College Cork (NUI)
65,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,nan,University College Cork (NUI)
66,Government and Political Science,CK122,337,328,University College Cork (NUI)
67,Anthropology,CK123,308,nan,University College Cork (NUI)
68,Education - Gaeilge,CK124,463,462,University College Cork (NUI)
69,Sports Studies and Physical Education,CK125,510,509,University College Cork (NUI)
70,Commerce,CK201,477,nan,University College Cork (NUI)
71,Accounting,CK202,509,nan,University College Cork (NUI)
72,Business Information Systems,CK203,430,nan,University College Cork (NUI)
73,Finance,CK204,556,nan,University College Cork (NUI)
74,Commerce (International) with French,CK205,445,nan,University College Cork (NUI)
75,Commerce (International) with German,CK206,420,418,University College Cork (NUI)
76,Commerce (International) with Italian,CK207,388,nan,University College Cork (NUI)
77,Commerce (International) with Hispanic Studies,CK208,402,nan,University College Cork (NUI)
78,Commerce (International) with Irish,CK209,484,nan,University College Cork (NUI)
79,Commerce (International) with Chinese Studies,CK211,397,nan,University College Cork (NUI)
80,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,nan,University College Cork (NUI)
81,Food Marketing and Entrepreneurship,CK213,462,nan,University College Cork (NUI)
82,International Development,CK214,346,nan,University College Cork (NUI)
83,Law (Pathways) -  3 or 4 years,CK301,507,499,University College Cork (NUI)
84,Law and French,CK302,542,nan,University College Cork (NUI)
85,Law and Irish,CK304,540,nan,University College Cork (NUI)
86,Law and Business,CK307,556,nan,University College Cork (NUI)
87,Computer Science,CK401,468,nan,University College Cork (NUI)
88,Biological and Chemical Sciences,CK402,510,509,University College Cork (NUI)
89,"Biological, Earth and Environmental Sciences",CK404,467,nan,University College Cork (NUI)
90,Genetics,CK405,487,nan,University College Cork (NUI)
91,Chemical Sciences,CK406,485,472,University College Cork (NUI)
92,Mathematical Sciences,CK407,566,565,University College Cork (NUI)
93,Physics and Astrophysics,CK408,554,542,University College Cork (NUI)
94,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,nan,University College Cork (NUI)
95,Data Science and Analytics,CK411,510,nan,University College Cork (NUI)
96,Agricultural Science,CK412,496,496,University College Cork (NUI)
97,Nutritional Sciences,CK504,518,nan,University College Cork (NUI)
98,Food Science,CK505,441,440,University College Cork (NUI)
99,Engineering,CK600,487,nan,University College Cork (NUI)
100,Architecture - Offered jointly by UCC and CIT,CK606,484,476,University College Cork (NUI)
101,Medicine (Undergraduate Entry - HPAT required),CK701,731,nan,University College Cork (NUI)
102,Dentistry,CK702,613,613,University College Cork (NUI)
103,Pharmacy,CK703,590,589,University College Cork (NUI)
104,Occupational Therapy,CK704,566,555,University College Cork (NUI)
105,Speech and Language Therapy,CK705,520,nan,University College Cork (NUI)
106,Public Health Sciences,CK706,454,nan,University College Cork (NUI)
107,Medical and Health Sciences,CK707,542,541,University College Cork (NUI)
108,General Nursing,CK710,454,nan,University College Cork (NUI)
109,Children`s and General Nursing (Integrated),CK712,533,nan,University College Cork (NUI)
110,Mental Health Nursing,CK720,423,nan,University College Cork (NUI)
111,Intellectual Disability Nursing,CK730,419,411,University College Cork (NUI)
112,Midwifery,CK740,484,nan,University College Cork (NUI)
113,Medicine  - Graduate Entry (GAMSAT required),CK791,57,nan,University College Cork (NUI)
114,Education - Primary Teaching,CM001,484,nan,Marino Institute of Education
115,Education - Primary Teaching - Gaeltacht Applicants,CM002,nan,nan,Marino Institute of Education
116,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,nan,Marino Institute of Education
117,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,nan,Marino Institute of Education
118,Education Studies,CM010,319,nan,Marino Institute of Education
119,Early Childhood Education,CM020,327,nan,Marino Institute of Education
120,Chemical and Biopharmaceutical Engineering,CR105,443,nan,Cork Institute of Technology
121,Software Development,CR106,411,nan,Cork Institute of Technology
122,Mechanical Engineering,CR108,434,nan,Cork Institute of Technology
123,Structural Engineering,CR109,394,nan,Cork Institute of Technology
124,Automotive Business Management and Technology,CR110,311,nan,Cork Institute of Technology
125,Creative Digital Media,CR112,361,nan,Cork Institute of Technology
126,Computer Systems,CR116,332,nan,Cork Institute of Technology
127,Music at CIT Cork School of Music,CR121,868,nan,Cork Institute of Technology
128,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,nan,Cork Institute of Technology
129,Popular Music: Drums at CIT Cork School of Music,CR126,801,nan,Cork Institute of Technology
130,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,768,Cork Institute of Technology
131,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,nan,Cork Institute of Technology
132,Popular Music: Voice at CIT Cork School of Music,CR129,841,nan,Cork Institute of Technology
133,Musical Theatre at CIT Cork School of Music,CR130,548,518,Cork Institute of Technology
134,Business Information Systems,CR150,335,nan,Cork Institute of Technology
135,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,nan,Cork Institute of Technology
136,Fine Art at CIT Crawford College of Art and Design,CR220,,nan,Cork Institute of Technology
137,Photography with New Media,CR225,,nan,Cork Institute of Technology
138,Physical Sciences (Common Entry),CR305,282,nan,Cork Institute of Technology
139,IT Management,CR310,297,nan,Cork Institute of Technology
140,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,nan,Cork Institute of Technology
141,Pharmaceutical Biotechnology,CR325,398,nan,Cork Institute of Technology
142,Nutrition and Health Science,CR333,402,nan,Cork Institute of Technology
143,Biological Sciences (Common Entry),CR335,420,nan,Cork Institute of Technology
144,Analytical Chemistry with Quality Assurance,CR340,251,nan,Cork Institute of Technology
145,Instrument Engineering,CR360,261,nan,Cork Institute of Technology
146,Environmental Science and Sustainable Technology,CR365,253,nan,Cork Institute of Technology
147,Agri-Biosciences,CR370,397,nan,Cork Institute of Technology
